state_action,q_value
"((2.0,), 0.0)",38.93322794856805
"((2.0,), 0.04)",38.83596258980371
"((2.0,), 0.08)",38.82583562727734
"((2.0,), 0.12)",38.811560359050034
"((2.0,), 0.16)",38.85315324060021
"((2.0,), 0.2)",38.8368142951639
"((2.0,), 0.24)",38.84101393903603
"((2.0,), 0.28)",38.85273939557581
"((2.0,), 0.32)",38.82442102969613
"((2.0,), 0.36)",38.859240277045444
"((2.0,), 0.4)",38.78986029341572
"((2.0,), 0.44)",38.78178799675586
"((2.0,), 0.48)",38.89822805606549
"((2.0,), 0.52)",39.02728043642592
"((2.0,), 0.56)",38.85715433554232
"((2.0,), 0.6)",38.74424948181756
"((2.0,), 0.64)",38.716551765356506
"((2.0,), 0.68)",38.87630788030901
"((2.0,), 0.72)",38.89924350312984
"((2.0,), 0.76)",38.80457516807305
"((2.0,), 0.8)",38.75554627767572
"((2.0,), 0.84)",38.77064486101125
"((2.0,), 0.88)",38.873265053921784
"((2.0,), 0.92)",38.801221430220146
"((2.0,), 0.96)",38.858510613862045
"((2.0,), 1.0)",38.675284000250024
