episode,avg_contribution,total_contribution,social_welfare,fairness,action_diversity,agent_0_contrib,agent_0_norm_contrib,agent_0_shapley,agent_0_payoff,agent_1_contrib,agent_1_norm_contrib,agent_1_shapley,agent_1_payoff,agent_2_contrib,agent_2_norm_contrib,agent_2_shapley,agent_2_payoff,agent_3_contrib,agent_3_norm_contrib,agent_3_shapley,agent_3_payoff
100,0.56,2.24,7.24,0.0964285728807398,1.0,0.38,76.0,0.06000000000000005,1.2400000000000002,0.84,84.0,0.6222222222222222,1.2800000000000002,0.54,36.00000000000001,0.2555555555555556,2.08,0.48,24.0,0.18222222222222223,2.64
200,0.54,2.16,7.16,-0.35113484483842283,1.0,0.36,72.0,0.05000000000000002,1.2200000000000002,1.0,100.0,0.8322222222222222,1.08,0.72,48.0,0.4900000000000001,1.86,0.08,4.0,-0.2922222222222222,3.0
300,0.775,3.1,8.100000000000001,-0.33635887505482764,1.0,0.02,4.0,-0.5352777777777777,2.0300000000000002,0.12,12.0,-0.4130555555555555,2.43,1.2000000000000002,80.00000000000001,0.9069444444444448,1.8499999999999999,1.76,88.0,1.5913888888888887,1.79
400,0.465,1.86,6.859999999999999,-0.22511163530065592,0.75,0.48,96.0,0.25083333333333335,0.9500000000000001,0.08,8.0,-0.23805555555555555,1.85,1.1400000000000001,76.00000000000001,1.0575,1.29,0.16,8.0,-0.14027777777777783,2.77
500,0.21,0.84,5.84,-0.34865900073105194,1.0,0.12,24.0,-0.0050000000000000044,0.8,0.48,48.0,0.435,0.94,0.24,16.0,0.1416666666666667,1.68,0.0,0.0,-0.15166666666666662,2.42
600,0.47500000000000003,1.9000000000000001,6.9,-0.4683352274228265,1.0,0.22,44.0,-0.07416666666666667,1.23,0.88,88.0,0.7325,1.07,0.0,0.0,-0.34305555555555556,2.45,0.8,40.0,0.6347222222222223,2.15
700,0.66,2.64,7.640000000000001,-0.08527131714112457,1.0,0.38,76.0,-0.012222222222222183,1.44,0.28,28.000000000000004,-0.13444444444444442,2.04,0.30000000000000004,20.000000000000004,-0.1099999999999999,2.52,1.68,84.0,1.5766666666666667,1.6400000000000001
800,0.77,3.08,8.08,-0.21081080973982314,1.0,0.26,52.0,-0.23833333333333329,1.78,0.64,64.0,0.226111111111111,1.9,1.3800000000000001,92.0,1.1305555555555555,1.66,0.8,40.0,0.4216666666666666,2.74
900,0.8400000000000001,3.3600000000000003,8.360000000000001,-0.19565217293832693,0.75,0.3,60.0,-0.24000000000000005,1.8800000000000001,0.52,52.0,0.028888888888888853,2.16,1.5,100.0,1.2266666666666666,1.6800000000000002,1.04,52.0,0.6644444444444445,2.64
1000,0.40499999999999997,1.6199999999999999,6.619999999999999,-0.15233522298192637,1.0,0.46,92.0,0.2697222222222222,0.8499999999999999,0.76,76.0,0.636388888888889,1.0499999999999998,0.24,16.0,0.0008333333333333248,2.07,0.16,8.0,-0.09694444444444439,2.65
1100,0.49,1.96,6.96,-0.2641334547956995,0.75,0.26,52.0,-0.036111111111111115,1.22,0.76,76.0,0.575,1.22,0.78,52.0,0.5994444444444444,1.7,0.16,8.0,-0.15833333333333333,2.8200000000000003
1200,0.23500000000000001,0.9400000000000001,5.9399999999999995,-0.36434108234249973,0.75,0.26,52.0,0.14805555555555555,0.71,0.52,52.0,0.4658333333333334,0.95,0.0,0.0,-0.16972222222222222,1.97,0.16,8.0,0.025833333333333347,2.31
1300,0.7250000000000001,2.9000000000000004,7.9,-0.6194544837890121,1.0,0.0,0.0,-0.5236111111111111,1.9500000000000002,0.76,76.0,0.40527777777777785,1.6900000000000002,1.02,68.0,0.7230555555555557,1.9300000000000002,1.12,56.00000000000001,0.8452777777777778,2.33
1400,0.385,1.54,6.54,-0.46192893158147497,1.0,0.26,52.0,0.039722222222222214,1.01,0.72,72.0,0.6019444444444445,1.05,0.0,0.0,-0.27805555555555556,2.27,0.56,28.000000000000004,0.406388888888889,2.21
1500,0.32,1.28,6.28,-0.3312101891750172,1.0,0.36,72.0,0.20888888888888885,0.78,0.76,76.0,0.6977777777777779,0.88,0.0,0.0,-0.23111111111111113,2.14,0.16,8.0,-0.03555555555555555,2.48
1600,0.295,1.18,6.18,-0.29763290466764514,1.0,0.26,52.0,0.10472222222222222,0.83,0.76,76.0,0.7158333333333334,0.83,0.0,0.0,-0.21305555555555553,2.09,0.16,8.0,-0.017500000000000012,2.43
1700,0.92,3.68,8.68,-0.19475655363590438,1.0,0.26,52.0,-0.34666666666666657,2.08,0.76,76.0,0.2644444444444445,2.08,0.66,44.0,0.1422222222222223,2.68,2.0,100.0,1.78,1.84
1800,0.5650000000000001,2.2600000000000002,7.26,-0.23301857921447855,1.0,0.26,52.0,-0.0902777777777777,1.37,0.76,76.0,0.5208333333333334,1.37,1.08,72.00000000000001,0.9119444444444444,1.55,0.16,8.0,-0.21250000000000002,2.97
1900,0.295,1.18,6.18,-0.29763290466764514,1.0,0.26,52.0,0.10472222222222222,0.83,0.76,76.0,0.7158333333333334,0.83,0.0,0.0,-0.21305555555555553,2.09,0.16,8.0,-0.017500000000000012,2.43
2000,0.17500000000000002,0.7000000000000001,5.699999999999999,-0.34865900011097883,1.0,0.14,28.000000000000004,0.04472222222222223,0.71,0.4,40.0,0.3625,0.95,0.0,0.0,-0.12638888888888888,1.85,0.16,8.0,0.06916666666666667,2.19
2100,0.535,2.14,7.140000000000001,-0.24249911596434992,1.0,0.26,52.0,-0.06861111111111104,1.31,0.76,76.0,0.5425,1.31,0.96,64.0,0.7869444444444444,1.61,0.16,8.0,-0.19083333333333333,2.91
2200,0.555,2.22,7.220000000000001,-0.3104238248069813,1.0,0.02,4.0,-0.3763888888888889,1.59,0.72,72.0,0.4791666666666667,1.3900000000000001,1.32,88.0,1.2125000000000001,1.29,0.16,8.0,-0.20527777777777773,2.95
2300,0.295,1.18,6.18,-0.29763290466764514,1.0,0.26,52.0,0.10472222222222222,0.83,0.76,76.0,0.7158333333333334,0.83,0.0,0.0,-0.21305555555555553,2.09,0.16,8.0,-0.017500000000000012,2.43
2400,0.515,2.06,7.0600000000000005,-0.41365461690171257,0.75,0.26,52.0,-0.05416666666666664,1.27,0.76,76.0,0.5569444444444445,1.27,0.0,0.0,-0.3719444444444444,2.5300000000000002,1.04,52.0,0.8991666666666667,1.99
2500,0.49,1.96,6.96,-0.2641334547956995,0.75,0.26,52.0,-0.036111111111111115,1.22,0.76,76.0,0.575,1.22,0.78,52.0,0.5994444444444444,1.7,0.16,8.0,-0.15833333333333333,2.8200000000000003
2600,0.6400000000000001,2.5600000000000005,7.5600000000000005,-0.21778584292558323,1.0,0.26,52.0,-0.14444444444444443,1.5200000000000002,0.76,76.0,0.46666666666666673,1.5200000000000002,1.3800000000000001,92.0,1.2244444444444444,1.4000000000000001,0.16,8.0,-0.2666666666666667,3.12
2700,0.315,1.26,6.26,-0.32435643375537304,1.0,0.34,68.0,0.18805555555555553,0.79,0.76,76.0,0.7013888888888891,0.87,0.0,0.0,-0.22749999999999998,2.13,0.16,8.0,-0.031944444444444456,2.47
2800,0.29,1.16,6.16,-0.2911196893250847,1.0,0.24,48.0,0.08388888888888883,0.84,0.76,76.0,0.7194444444444446,0.82,0.0,0.0,-0.20944444444444443,2.08,0.16,8.0,-0.013888888888888881,2.42
2900,0.295,1.18,6.18,-0.29763290466764514,1.0,0.26,52.0,0.10472222222222222,0.83,0.76,76.0,0.7158333333333334,0.83,0.0,0.0,-0.21305555555555553,2.09,0.16,8.0,-0.017500000000000012,2.43
3000,0.295,1.18,6.18,-0.29763290466764514,1.0,0.26,52.0,0.10472222222222222,0.83,0.76,76.0,0.7158333333333334,0.83,0.0,0.0,-0.21305555555555553,2.09,0.16,8.0,-0.017500000000000012,2.43
3100,0.355,1.42,6.42,-0.3812474163682402,1.0,0.5,100.0,0.35472222222222216,0.71,0.76,76.0,0.6725,0.95,0.0,0.0,-0.2563888888888889,2.21,0.16,8.0,-0.06083333333333332,2.55
3200,0.295,1.18,6.18,-0.29763290466764514,1.0,0.26,52.0,0.10472222222222222,0.83,0.76,76.0,0.7158333333333334,0.83,0.0,0.0,-0.21305555555555553,2.09,0.16,8.0,-0.017500000000000012,2.43
3300,0.37,1.48,6.48,-0.10831234089423836,1.0,0.26,52.0,0.05055555555555555,0.98,0.76,76.0,0.6616666666666666,0.98,0.30000000000000004,20.000000000000004,0.09944444444444447,1.94,0.16,8.0,-0.07166666666666667,2.58
3400,0.515,2.06,7.0600000000000005,-0.41365461690171257,0.75,0.26,52.0,-0.05416666666666664,1.27,0.76,76.0,0.5569444444444445,1.27,0.0,0.0,-0.3719444444444444,2.5300000000000002,1.04,52.0,0.8991666666666667,1.99
3500,0.295,1.18,6.18,-0.29763290466764514,1.0,0.26,52.0,0.10472222222222222,0.83,0.76,76.0,0.7158333333333334,0.83,0.0,0.0,-0.21305555555555553,2.09,0.16,8.0,-0.017500000000000012,2.43
3600,0.26,1.04,6.040000000000001,-0.25337331165211996,1.0,0.12,24.0,-0.04111111111111112,0.9,0.76,76.0,0.7411111111111113,0.76,0.0,0.0,-0.18777777777777777,2.02,0.16,8.0,0.0077777777777778,2.3600000000000003
3700,0.295,1.18,6.18,-0.29763290466764514,1.0,0.26,52.0,0.10472222222222222,0.83,0.76,76.0,0.7158333333333334,0.83,0.0,0.0,-0.21305555555555553,2.09,0.16,8.0,-0.017500000000000012,2.43
3800,0.295,1.18,6.18,-0.29763290466764514,1.0,0.26,52.0,0.10472222222222222,0.83,0.76,76.0,0.7158333333333334,0.83,0.0,0.0,-0.21305555555555553,2.09,0.16,8.0,-0.017500000000000012,2.43
3900,0.295,1.18,6.18,-0.29763290466764514,1.0,0.26,52.0,0.10472222222222222,0.83,0.76,76.0,0.7158333333333334,0.83,0.0,0.0,-0.21305555555555553,2.09,0.16,8.0,-0.017500000000000012,2.43
