state_action,q_value
"((1.5,), 0.0)",61.50443941779781
"((1.5,), 0.04)",49.94636834995892
"((1.5,), 0.08)",49.98511015710818
"((1.5,), 0.12)",50.63891842627649
"((1.5,), 0.16)",50.70759907651901
"((1.5,), 0.2)",50.43529744345364
"((1.5,), 0.24)",50.151666941434065
"((1.5,), 0.28)",49.81247594437539
"((1.5,), 0.32)",49.058698315616155
"((1.5,), 0.36)",50.1237370128256
"((1.5,), 0.4)",50.36322824277682
"((1.5,), 0.44)",49.879719972728815
"((1.5,), 0.48)",51.286373827782356
"((1.5,), 0.52)",50.11689339939794
"((1.5,), 0.56)",49.79178917923793
"((1.5,), 0.6)",49.95121934325432
"((1.5,), 0.64)",50.44762409009492
"((1.5,), 0.68)",51.33369985557567
"((1.5,), 0.72)",50.80936419432274
"((1.5,), 0.76)",50.33407215755386
"((1.5,), 0.8)",49.573306476911085
"((1.5,), 0.84)",49.68532060322657
"((1.5,), 0.88)",49.59874000896728
"((1.5,), 0.92)",49.55236064108131
"((1.5,), 0.96)",50.09786234488269
"((1.5,), 1.0)",49.68107066525019
