episode,avg_contribution,total_contribution,social_welfare,fairness,action_diversity,agent_0_contrib,agent_0_norm_contrib,agent_0_shapley,agent_0_payoff,agent_1_contrib,agent_1_norm_contrib,agent_1_shapley,agent_1_payoff,agent_2_contrib,agent_2_norm_contrib,agent_2_shapley,agent_2_payoff,agent_3_contrib,agent_3_norm_contrib,agent_3_shapley,agent_3_payoff
100,0.605,2.42,11.049999999999999,-0.11004784589668226,1.0,0.48,96.0,0.2620138888888888,2.1374999999999997,0.76,76.0,0.8609027777777776,2.3575,0.30000000000000004,20.000000000000004,-0.12298611111111102,3.3175,0.88,44.0,1.1175694444444444,3.2375
200,0.75,3.0,12.500000000000002,-0.07190569701275784,1.0,0.5,100.0,0.12152777777777776,2.625,0.36,36.0,-0.1779166666666669,3.265,0.54,36.00000000000001,0.20708333333333345,3.585,1.6,80.0,2.474305555555556,3.025
300,0.43,1.72,9.3,-0.030243901405190954,1.0,0.44,88.0,0.3976388888888889,1.565,0.32,32.0,0.14097222222222233,2.1849999999999996,0.72,48.0,0.9965277777777777,2.285,0.24,12.0,-0.0301388888888889,3.2649999999999997
400,0.575,2.3,10.75,-0.16299559415895004,1.0,0.18,36.0,-0.34173611111111113,2.3324999999999996,0.32,32.0,-0.042291666666666686,2.6925,1.32,88.0,2.096597222222222,2.1925,0.48,24.0,0.29993055555555537,3.5324999999999998
500,0.9500000000000002,3.8000000000000007,14.500000000000004,-0.15196357359995627,0.5,0.44,88.0,-0.25958333333333355,3.3850000000000007,0.68,68.0,0.25375000000000003,3.6450000000000005,1.32,88.0,1.622638888888889,3.505000000000001,1.36,68.0,1.7081944444444446,3.9650000000000007
600,0.73,2.92,12.299999999999997,-0.2019282264401343,1.0,0.26,52.0,-0.3665277777777778,2.795,0.48,48.0,0.1040277777777778,3.0749999999999997,0.8999999999999999,60.0,1.0023611111111106,3.155,1.28,64.0,1.815138888888889,3.2749999999999995
700,0.825,3.3,13.25,-0.37535816545212075,1.0,0.46,92.0,-0.058819444444444494,2.9274999999999998,0.16,16.0,-0.7004861111111111,3.7274999999999996,1.32,88.0,1.7806250000000001,3.0675,1.36,68.0,1.8661805555555557,3.5275
800,0.49,1.96,9.899999999999999,-0.27048832216272256,1.0,0.08,16.0,-0.4481944444444444,2.135,0.52,52.0,0.4929166666666664,2.195,0.0,0.0,-0.6193055555555556,3.215,1.36,68.0,2.2895833333333337,2.3549999999999995
900,0.5,2.0,10.0,-0.202391118173892,0.75,0.44,88.0,0.30916666666666665,1.81,0.08,8.0,-0.4608333333333334,2.67,0.12,8.0,-0.3752777777777779,3.13,1.36,68.0,2.2769444444444447,2.3899999999999997
1000,0.48000000000000004,1.9200000000000002,9.8,-0.1899038454183286,1.0,0.14,28.000000000000004,-0.3072222222222221,2.04,0.44,44.0,0.33444444444444443,2.24,0.30000000000000004,20.000000000000004,0.035000000000000045,2.88,1.04,52.0,1.6177777777777778,2.64
1100,0.71,2.84,12.100000000000001,-0.4215042900241701,0.75,0.44,88.0,0.04374999999999998,2.545,0.04,4.0,-0.8118055555555556,3.445,1.32,88.0,1.9259722222222226,2.665,1.04,52.0,1.3270833333333334,3.445
1200,0.56,2.24,10.600000000000001,-0.28544061239359775,1.0,0.06,12.0,-0.5794444444444444,2.4000000000000004,0.6,60.0,0.5755555555555554,2.3600000000000003,0.30000000000000004,20.000000000000004,-0.06611111111111098,3.16,1.28,64.0,2.0300000000000002,2.68
1300,0.92,3.68,14.2,-0.35764375827614536,0.75,0.44,88.0,-0.22166666666666657,3.2800000000000002,0.08,8.0,-0.9916666666666667,4.140000000000001,1.32,88.0,1.6605555555555558,3.4000000000000004,1.84,92.0,2.772777777777778,3.38
1400,0.8,3.2,13.0,-0.4426229500595078,0.75,0.44,88.0,-0.07000000000000006,2.8600000000000003,0.08,8.0,-0.84,3.72,1.32,88.0,1.8122222222222226,2.9800000000000004,1.36,68.0,1.897777777777778,3.4400000000000004
1500,0.76,3.04,12.600000000000001,-0.42379958169912313,0.75,0.44,88.0,-0.01944444444444446,2.72,0.08,8.0,-0.7894444444444443,3.58,1.32,88.0,1.862777777777778,2.84,1.2,60.0,1.6061111111111113,3.46
1600,0.915,3.66,14.150000000000002,-0.07406379966449306,1.0,0.5,100.0,-0.08701388888888896,3.2025,0.48,48.0,-0.12979166666666686,3.7225,1.32,88.0,1.666875,3.3825000000000003,1.36,68.0,1.7524305555555562,3.8425000000000002
1700,0.7550000000000001,3.0200000000000005,12.550000000000002,-0.4006466046054886,1.0,0.26,52.0,-0.39812500000000006,2.8825000000000003,0.08,8.0,-0.7831250000000001,3.5625000000000004,1.32,88.0,1.8690972222222222,2.8225000000000007,1.36,68.0,1.9546527777777782,3.2825000000000006
