episode,avg_contribution,total_contribution,social_welfare,fairness,action_diversity,agent_0_contrib,agent_0_norm_contrib,agent_0_shapley,agent_1_contrib,agent_1_norm_contrib,agent_1_shapley,agent_2_contrib,agent_2_norm_contrib,agent_2_shapley,agent_3_contrib,agent_3_norm_contrib,agent_3_shapley
200,0.7649999999999999,3.0599999999999996,6.53,-0.30297982486501884,1.0,0.08,16.0,-0.34104166666666663,0.64,64.0,0.1722916666666667,0.66,44.0,0.19062500000000004,1.68,84.0,1.1256249999999999
400,0.565,2.26,6.129999999999999,-0.3173006119452655,1.0,0.4,80.0,0.060625,0.04,4.0,-0.26937500000000003,1.26,84.0,0.8489583333333333,0.56,28.000000000000004,0.20729166666666668
600,0.4600000000000001,1.8400000000000003,5.920000000000001,0.07654321261271169,1.0,0.3,60.0,0.025833333333333368,0.48,48.0,0.1908333333333334,0.42000000000000004,28.000000000000004,0.13583333333333344,0.64,32.0,0.3375
800,0.47,1.88,5.9399999999999995,-0.4324133025917962,1.0,0.48,96.0,0.18541666666666667,0.92,92.0,0.58875,0.0,0.0,-0.25458333333333333,0.48,24.0,0.18541666666666667
1000,0.36,1.44,5.720000000000001,-0.3622290996367261,0.75,0.0,0.0,-0.195,0.8,80.0,0.5383333333333334,0.0,0.0,-0.195,0.64,32.0,0.3916666666666666
1200,0.46499999999999997,1.8599999999999999,5.93,-0.3426202300349661,1.0,0.5,100.0,0.20645833333333333,0.04,4.0,-0.21520833333333325,0.36,24.0,0.07812499999999999,0.96,48.0,0.6281249999999999
1400,0.515,2.06,6.029999999999999,-0.2684253450942504,1.0,0.16,32.0,-0.13229166666666675,0.68,68.0,0.344375,1.1400000000000001,76.00000000000001,0.7660416666666667,0.08,4.0,-0.20562500000000003
1600,0.44000000000000006,1.7600000000000002,5.880000000000001,-0.2142857131029683,0.75,0.02,4.0,-0.22,0.28,28.000000000000004,0.018333333333333354,1.3800000000000001,92.0,1.0266666666666668,0.08,4.0,-0.165
1800,0.13999999999999999,0.5599999999999999,5.279999999999999,-0.2315521590894083,0.75,0.44,88.0,0.32749999999999996,0.04,4.0,-0.03916666666666668,0.0,0.0,-0.07583333333333334,0.08,4.0,-0.002500000000000011
2000,0.11,0.44,5.220000000000001,-0.2203389785380374,0.75,0.0,0.0,-0.05958333333333332,0.36,36.0,0.2704166666666667,0.0,0.0,-0.05958333333333332,0.08,4.0,0.013749999999999991
2200,0.065,0.26,5.13,-0.2712680479902301,0.75,0.0,0.0,-0.03520833333333333,0.0,0.0,-0.03520833333333333,0.18,12.0,0.12979166666666667,0.08,4.0,0.03812499999999999
2400,0.02,0.08,5.04,-0.17333331456,0.5,0.0,0.0,-0.010833333333333332,0.0,0.0,-0.010833333333333332,0.0,0.0,-0.010833333333333332,0.08,4.0,0.06249999999999999
2600,0.0,0.0,5.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
