episode,avg_contribution,total_contribution,social_welfare,fairness,action_diversity,agent_0_contrib,agent_0_norm_contrib,agent_0_shapley,agent_1_contrib,agent_1_norm_contrib,agent_1_shapley,agent_2_contrib,agent_2_norm_contrib,agent_2_shapley,agent_3_contrib,agent_3_norm_contrib,agent_3_shapley
200,0.845,3.38,13.45,0.0009730788372174226,1.0,0.5,100.0,0.0014583333333332699,0.96,96.0,0.9853472222222223,1.2000000000000002,80.00000000000001,1.498680555555556,0.72,36.0,0.4720138888888886
400,0.845,3.38,13.450000000000001,-0.22969432240766907,0.75,0.32,64.0,-0.38354166666666667,1.0,100.0,1.0709027777777778,0.78,52.0,0.6003472222222223,1.28,64.0,1.6697916666666668
600,0.74,2.96,12.4,-0.4161378053233913,1.0,0.02,4.0,-0.8925,0.96,96.0,1.1180555555555554,0.54,36.00000000000001,0.21972222222222243,1.44,72.0,2.144722222222222
800,0.415,1.66,9.149999999999999,-0.34308425985280877,1.0,0.16,32.0,-0.18229166666666669,0.96,96.0,1.5288194444444443,0.54,36.00000000000001,0.6304861111111113,0.0,0.0,-0.524513888888889
1000,0.8049999999999999,3.2199999999999998,13.05,-0.3548044588945274,1.0,0.02,4.0,-0.9746527777777779,0.6,60.0,0.2659027777777778,0.8400000000000001,56.00000000000001,0.7792361111111112,1.76,88.0,2.7470138888888886
1200,0.735,2.94,12.35,-0.4119774004735277,1.0,0.02,4.0,-0.8861805555555554,0.84,84.0,0.8677083333333331,1.44,96.0,2.1510416666666665,0.64,32.0,0.43993055555555566
1400,0.33499999999999996,1.3399999999999999,8.35,-0.2597673717293403,1.0,0.02,4.0,-0.38062499999999994,0.96,96.0,1.6299305555555552,0.36,24.0,0.34659722222222217,0.0,0.0,-0.42340277777777774
1600,0.7550000000000001,3.0200000000000005,12.55,-0.2358907665689456,1.0,0.5,100.0,0.11520833333333327,0.96,96.0,1.0990972222222224,1.32,88.0,1.8690972222222224,0.24,12.0,-0.44090277777777764
1800,0.21000000000000002,0.8400000000000001,7.1000000000000005,-0.29836065427818936,1.0,0.02,4.0,-0.22263888888888883,0.28,28.000000000000004,0.3334722222222223,0.54,36.00000000000001,0.8895833333333334,0.0,0.0,-0.26541666666666663
2000,0.41999999999999993,1.6799999999999997,9.2,-0.3500697340386032,1.0,0.02,4.0,-0.4880555555555557,0.12,12.0,-0.2741666666666667,0.8999999999999999,60.0,1.394166666666666,0.64,32.0,0.8380555555555558
2200,0.39,1.56,8.9,-0.29946839850171525,1.0,0.02,4.0,-0.4501388888888889,1.0,100.0,1.6459722222222222,0.54,36.00000000000001,0.6620833333333335,0.0,0.0,-0.4929166666666666
2400,0.185,0.74,6.85,-0.2538258561586815,0.75,0.0,0.0,-0.2338194444444444,0.2,20.0,0.19395833333333332,0.54,36.00000000000001,0.9211805555555556,0.0,0.0,-0.23381944444444444
2600,0.23500000000000001,0.9400000000000001,7.35,-0.34617563582477295,1.0,0.16,32.0,0.045208333333333364,0.24,24.0,0.21631944444444437,0.54,36.00000000000001,0.857986111111111,0.0,0.0,-0.29701388888888886
2800,0.31,1.24,8.1,-0.4394765523657529,1.0,0.22,44.0,0.0787499999999999,0.6,60.0,0.8915277777777779,0.42000000000000004,28.000000000000004,0.5065277777777779,0.0,0.0,-0.39180555555555546
3000,0.36,1.44,8.6,-0.612565442855185,1.0,0.4,80.0,0.4005555555555556,0.56,56.00000000000001,0.742777777777778,0.48,32.0,0.5716666666666668,0.0,0.0,-0.455
3200,0.17,0.68,6.700000000000001,-0.314366996654452,1.0,0.06,12.0,-0.08652777777777781,0.2,20.0,0.21291666666666673,0.42000000000000004,28.000000000000004,0.6834722222222223,0.0,0.0,-0.2148611111111111
3400,0.19,0.76,6.9,-0.2624867148793224,1.0,0.02,4.0,-0.1973611111111111,0.2,20.0,0.18763888888888888,0.54,36.00000000000001,0.9148611111111111,0.0,0.0,-0.24013888888888887
3600,0.225,0.9,7.25,-0.3266331643053748,1.0,0.04,8.0,-0.19881944444444447,0.32,32.0,0.4000694444444445,0.54,36.00000000000001,0.8706250000000001,0.0,0.0,-0.28437500000000004
3800,0.09000000000000001,0.36000000000000004,5.9,-0.49787233386949503,1.0,0.12,24.0,0.1429166666666667,0.16,16.0,0.22847222222222222,0.0,0.0,-0.11375000000000002,0.08,4.0,0.05736111111111112
4000,0.19499999999999998,0.7799999999999999,6.95,-0.29946839771223166,1.0,0.5,100.0,0.8229861111111109,0.2,20.0,0.18131944444444445,0.0,0.0,-0.24645833333333328,0.08,4.0,-0.07534722222222223
4200,0.125,0.5,6.25,-0.5054432300203549,1.0,0.22,44.0,0.31256944444444446,0.2,20.0,0.2697916666666667,0.0,0.0,-0.15798611111111113,0.08,4.0,0.01312499999999999
4400,0.305,1.22,8.05,-0.2436251912263243,0.75,0.06,12.0,-0.2571527777777779,0.92,92.0,1.5822916666666664,0.0,0.0,-0.3854861111111111,0.24,12.0,0.12784722222222222
4600,0.365,1.46,8.649999999999999,-0.3962421699907015,1.0,0.46,92.0,0.5225694444444444,0.76,76.0,1.164236111111111,0.0,0.0,-0.4613194444444444,0.24,12.0,0.05201388888888887
4800,0.27,1.08,7.7,-0.2657077961378722,1.0,0.08,16.0,-0.1701388888888889,0.76,76.0,1.2843055555555556,0.0,0.0,-0.34125,0.24,12.0,0.1720833333333334
5000,0.3,1.2,8.0,-0.3266331646863174,1.0,0.24,48.0,0.13416666666666668,0.72,72.0,1.1608333333333332,0.0,0.0,-0.3791666666666667,0.24,12.0,0.13416666666666668
5200,0.205,0.82,7.05,-0.3197360511608365,1.0,0.5,100.0,0.8103472222222222,0.08,8.0,-0.08798611111111111,0.0,0.0,-0.2590972222222222,0.24,12.0,0.25423611111111105
5400,0.47,1.88,9.7,-0.2389518962556314,0.75,0.44,88.0,0.3470833333333334,0.0,0.0,-0.5940277777777778,0.0,0.0,-0.5940277777777778,1.44,72.0,2.4859722222222222
5600,0.31,1.24,8.1,-0.1801519887287122,0.75,0.04,8.0,-0.3062500000000001,0.0,0.0,-0.3918055555555555,0.0,0.0,-0.3918055555555555,1.2,60.0,2.1748611111111114
5800,0.065,0.26,5.65,-0.27126805358719075,0.75,0.18,36.0,0.30284722222222227,0.0,0.0,-0.08215277777777777,0.0,0.0,-0.08215277777777777,0.08,4.0,0.08895833333333335
6000,0.015,0.06,5.15,-0.17333332260571432,0.5,0.06,12.0,0.10937499999999997,0.0,0.0,-0.01895833333333333,0.0,0.0,-0.01895833333333333,0.0,0.0,-0.01895833333333333
6200,0.015,0.06,5.15,-0.17333332260571432,0.5,0.06,12.0,0.10937499999999997,0.0,0.0,-0.01895833333333333,0.0,0.0,-0.01895833333333333,0.0,0.0,-0.01895833333333333
6400,0.41500000000000004,1.6600000000000001,9.150000000000002,-0.18100989726060956,0.75,0.06,12.0,-0.39618055555555565,0.0,0.0,-0.524513888888889,0.0,0.0,-0.524513888888889,1.6,80.0,2.8977083333333336
6600,0.095,0.38,5.949999999999999,-0.230195710595817,0.75,0.3,60.0,0.5215972222222223,0.0,0.0,-0.12006944444444444,0.0,0.0,-0.12006944444444444,0.08,4.0,0.051041666666666666
6800,0.30000000000000004,1.2000000000000002,8.0,-0.1792294797211711,1.0,0.1,20.0,-0.16527777777777775,0.72,72.0,1.1608333333333336,0.30000000000000004,20.000000000000004,0.2625000000000003,0.08,4.0,-0.20805555555555555
7000,0.44,1.76,9.4,-0.2903225796721487,1.0,0.5,100.0,0.5133333333333332,0.88,88.0,1.3261111111111112,0.30000000000000004,20.000000000000004,0.08555555555555577,0.08,4.0,-0.385
7200,0.39000000000000007,1.5600000000000003,8.9,-0.3346814950729877,1.0,0.5,100.0,0.5765277777777778,0.68,68.0,0.961527777777778,0.30000000000000004,20.000000000000004,0.14875,0.08,4.0,-0.32180555555555557
7400,0.39000000000000007,1.5600000000000003,8.9,-0.3346814950729877,1.0,0.5,100.0,0.5765277777777778,0.68,68.0,0.961527777777778,0.30000000000000004,20.000000000000004,0.14875,0.08,4.0,-0.32180555555555557
