episode,avg_contribution,total_contribution,social_welfare,fairness,action_diversity,agent_0_contrib,agent_0_norm_contrib,agent_0_shapley,agent_0_payoff,agent_1_contrib,agent_1_norm_contrib,agent_1_shapley,agent_1_payoff,agent_2_contrib,agent_2_norm_contrib,agent_2_shapley,agent_2_payoff,agent_3_contrib,agent_3_norm_contrib,agent_3_shapley,agent_3_payoff
100,0.75,3.0,12.5,-0.2846715324609119,0.5,0.0,0.0,-0.9479166666666666,3.125,1.0,100.0,1.1909722222222223,2.625,0.0,0.0,-0.9479166666666665,4.125,2.0,100.0,3.3298611111111116,2.625
200,0.625,2.5,11.25,-0.32663316528058806,0.5,0.0,0.0,-0.7899305555555555,2.6875,1.0,100.0,1.3489583333333335,2.1875,1.5,100.0,2.418402777777778,2.1875,0.0,0.0,-0.7899305555555555,4.1875
300,0.1875,0.75,6.875,-0.284671531303502,0.5,0.25,50.0,0.2977430555555556,0.90625,0.5,50.0,0.8324652777777779,1.15625,0.0,0.0,-0.23697916666666666,2.15625,0.0,0.0,-0.23697916666666666,2.65625
400,0.5625,2.25,10.625,-0.49787233937656583,0.5,0.0,0.0,-0.7109374999999999,2.46875,0.5,50.0,0.3585069444444445,2.46875,0.75,50.0,0.8932291666666666,2.71875,1.0,50.0,1.4279513888888888,2.96875
500,0.125,0.5,6.25,-0.17333333204601908,0.5,0.5,100.0,0.9114583333333334,0.4375,0.0,0.0,-0.1579861111111111,1.4375,0.0,0.0,-0.1579861111111111,1.9375,0.0,0.0,-0.1579861111111111,2.4375
600,0.875,3.5,13.75,-0.01734103997853964,0.5,0.5,100.0,-0.03645833333333329,3.0625,0.5,50.0,-0.03645833333333329,3.5625,1.5,100.0,2.102430555555556,3.0625,1.0,50.0,1.0329861111111112,4.0625
700,0.125,0.5,6.25,-0.17333333204601908,0.5,0.0,0.0,-0.1579861111111111,0.9375,0.5,50.0,0.9114583333333334,0.9375,0.0,0.0,-0.1579861111111111,1.9375,0.0,0.0,-0.1579861111111111,2.4375
800,0.5,2.0,10.0,-0.17333333301150455,0.5,0.0,0.0,-0.6319444444444444,2.25,0.0,0.0,-0.6319444444444444,2.75,0.0,0.0,-0.6319444444444444,3.25,2.0,100.0,3.6458333333333335,1.75
900,0.0,0.0,5.0,1.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2.0
1000,0.3125,1.25,8.125,-0.22648083553364562,0.5,0.25,50.0,0.13975694444444442,1.34375,0.0,0.0,-0.39496527777777773,2.09375,0.0,0.0,-0.39496527777777773,2.59375,1.0,50.0,1.743923611111111,2.09375
